trainnumber,elviraid,delay
55173,357,28.43516207928198
551477,1,28.303030303030305
5511226,1,28.196428571428573
5511149,1,27.60185185185185
5518507,1,27.181818181818183
5512963,1,26.690140845070424
5512079,2,26.64814814814815
5513995,1,26.0
5511631,4,25.896346997518418
5511488,5,25.180056629290554
5512414,1,25.0
5516195,1,23.952380952380953
5510131,1,23.74137931034483
5532968,1,23.696202531645568
5511537,2,23.693089430894307
551035,86,23.33429282592786
43928,1,23.27027027027027
55281,462,23.206733403870643
5512452,1,23.2
5511618,3,22.973684210526315
5512602,3,22.964377104377107
5537079,1,22.928571428571427
5512032,2,22.81686358754028
5516199,2,22.799571751777634
551586,1,22.26086956521739
5512476,47,21.974750853708535
5512856,1,21.92063492063492
36H4228,16,21.80469556902996
5512486,1,21.645833333333332
5511339,3,21.267857142857142
5511372,1,21.216
5511949,2,21.166701216141515
5518906,1,21.166666666666668
55277,461,21.103542591598284
551968,1,20.871794871794872
55273,386,20.838430788273158
5511332,1,20.833333333333332
5529013,1,20.50980392156863
551201,1,19.61
5512078,25,19.4497268156418
5512609,1,19.42982456140351
5512280,47,19.26781431249772
36H4186,2,19.264221073044602
5511480,2,18.744092039800996
5513629,1,18.727272727272727
55279,464,18.387641854718737
5513331,1,18.0
5511557,2,17.90909090909091
55463,507,17.78473054769575
36H1406,2,17.613636363636363
551280,1,17.60655737704918
36H7210,1,17.413793103448278
36H4308,5,17.2920456520077
551247,68,17.09890919079197
557203,1,17.084745762711865
55477,420,16.968966600880808
55149,578,16.841819373887656
4313396,1,16.77777777777778
558521,33,16.612927631209523
55131,395,16.520679425177207
5511639,2,16.457142857142856
5512406,301,16.41236650548707
5511614,1,16.403846153846153
5512130,46,16.258651269563526
5512286,11,16.24864949778573
5521533,1,16.19047619047619
5512509,1,16.11111111111111
55146,326,16.086916949510904
5512877,1,15.76056338028169
5512424,1,15.666666666666666
5512741,1,15.591397849462366
55261,387,15.515673188660688
5511276,2,15.46031746031746
55346,493,15.380679948619273
5518521,108,15.344291667998618
55347,562,15.118139677784137
36H7200,1,15.0
55275,388,14.991746952860861
5515009,1,14.944444444444445
5511889,2,14.944282945736433
55205,175,14.927489842933197
5511233,1,14.908396946564885
5519648,72,14.7491812186121
36H5258,4,14.412912404164588
5512607,2,14.340763403263402
5512709,1,14.076923076923077
55287,125,14.075624694125498
5512958,2,14.039373031348433
5511841,3,14.037510656436488
5519706,188,13.858510258183413
5519728,66,13.751925234647844
5511242,1,13.714285714285714
55165,403,13.595358147304555
5511436,1,13.583333333333334
55191,585,13.431255872010452
5512564,1,13.280575539568344
55271,478,13.180778163597136
551560,4,13.168844107420643
5511856,1,12.857142857142858
5516009,1,12.844827586206897
551856,146,12.689408042994812
5572,559,12.57089999819799
5563,516,12.545004572506855
5512347,101,12.531846383299262
551975,10,12.511438206362197
5512617,1,12.505263157894737
36H4314,6,12.497518817468508
551031,86,12.35513908605379
36H4218,348,12.216104808357802
551873,141,12.099164061047988
551853,145,11.975103219571402
551958,73,11.832559095026737
55405,39,11.818745051547404
36H4288,7,11.81535321821036
558996,448,11.740510338932385
5519693,27,11.729113453160654
5512081,1,11.727272727272727
5512737,1,11.636363636363637
5512205,38,11.620276611803392
5511728,1,11.444444444444445
5516706,151,11.406309069616045
5565,380,11.351798974842811
551843,139,11.334711922195671
55686,228,11.310704038466355
551973,42,11.295534677841495
5511633,5,11.268270540671669
551204,117,11.23459718179146
55406,229,11.202502787018254
5516105,2,11.199842436974789
36H1600,128,11.181167519984943
36H7209,1,11.114285714285714
5515606,149,11.11236802437762
5518701,22,11.111821711365609
5538848,2,11.092857142857143
551845,139,11.039395809541892
36H1928,6,11.014566842050279
55462,526,10.928715037807738
5516906,149,10.907511565096854
5518703,52,10.783334853990358
556303,1,10.657657657657658
36H5200,21,10.611559923149338
5518841,40,10.48485280475006
55187,518,10.374955144553153
551857,137,10.349139806390331
36H1291,28,10.329802301183019
5519755,90,10.284435256950463
55197,519,10.265091211607908
558422,7,10.223489691958061
551848,144,10.218393236602177
55195,518,10.204532651979413
5511566,2,10.116015823900357
5578,523,10.041082158734298
55201,599,10.029446750610145
5512861,1,10.027397260273972
55269,504,10.023011491865681
5518550,141,10.007908531338632
5516193,3,10.003534439416791
55586,515,9.938144221992845
55247,519,9.933755587962915
5519702,181,9.886131231060121
5516338,30,9.824118911670904
55193,538,9.774972898632
559068,72,9.713591666631618
559808,438,9.694730623123839
5512601,3,9.659483012424188
557440,45,9.633261284447908
36H4338,4,9.612471042471043
551844,139,9.538746535578262
36H4730,2,9.49660633484163
5511771,4,9.47
551863,138,9.455597309302147
5567,527,9.43906574776594
5534448,15,9.422697288092024
43318,4,9.397735541199038
558447,7,9.375485475189183
55658,530,9.365670553429709
55688,234,9.336012318330274
5513921,2,9.323333333333334
5519604,25,9.303679991769338
5533107,1,9.26086956521739
551852,138,9.245956362178024
551865,139,9.218911071193412
438900,2,9.182432432432432
5519695,80,9.182311653229675
5516707,137,9.132671899264432
5511629,2,9.1
551864,140,9.070412275752632
551876,140,9.033754197120965
551964,72,8.99757356071724
5519753,75,8.959083147310764
5519797,181,8.925015751851484
551875,140,8.898969687088906
551954,72,8.89704785117683
551966,77,8.874895487078861
558993,452,8.799502992136716
55200,96,8.79907958035112
55516,413,8.784251899347923
5517008,2,8.781676300578034
55145,377,8.734361383804906
5512736,1,8.733333333333333
36H4291,7,8.725213423797726
551656,7,8.68882350517905
55189,515,8.628677652962322
5519641,64,8.592602259680774
55199,515,8.58749444285204
55816,278,8.571445172782653
55687,512,8.548123688948088
